Packing Type	Packaging Title	Qty	G.W.	N.W.	Item Code
20 X 100 GM	EG-SWAD(20 X 100 GM) --- EDIBLE GUM	20	2.318	2.000	05117932240
20 X 100 GM	EG-SWAD(20 X 100 GM) --- EDIBLE GUM	20	2.318	2.000	05117932240
20 X 200 GM	EG-SWAD(20 X 200 GM) --- EDIBLE GUM	20	4.365	4.000	05117932250
20 X 200 GM	EG-SWAD(20 X 200 GM) --- EDIBLE GUM	20	4.365	4.000	05117932250
20 X 200 GM	EGPO-SWA(20X 200 GM) --- EDIBLE GUM POWDER	20	4.345	4.000	05117932260
20 X 200 GM	EGPO-SWA(20X 200 GM) --- EDIBLE GUM POWDER	20	4.345	4.000	05117932260
20 X 300 GM	FFBC-SWAD(20X300 GM) --- FAR FAR BHINDI CUT	20	6.642	6.000	05117921227
20 X 300 GM	FFBC-SWAD(20X300 GM) --- FAR FAR BHINDI CUT	20	6.642	6.000	05117921227
20 X 300 GM	FFB-SWAD(20 X300 GM) --- FAR FAR BHOONGLI	20	6.628	6.000	05117921228
20 X 300 GM	FFB-SWAD(20 X300 GM) --- FAR FAR BHOONGLI	20	6.628	6.000	05117921228
20 X 300 GM	FFBWC(20 X 300 GM) --- FAR FAR BHOONGLI W/O COLOUR	20	6.628	6.000	05117921245
20 X 300 GM	FFBWC(20 X 300 GM) --- FAR FAR BHOONGLI W/O COLOUR	20	6.628	6.000	05117921245
20 X 300 GM	FFR-SWA(20 X 300 GM) --- FAR FAR RING	20	6.580	6.000	05117921224
20 X 300 GM	FFR-SWA(20 X 300 GM) --- FAR FAR RING	20	6.580	6.000	05117921224
20 X 300 GM	FFSQ-SW(20 X 300 GM) --- FAR FAR SQUARE	20	6.628	6.000	05117921204
20 X 300 GM	FFSQ-SW(20 X 300 GM) --- FAR FAR SQUARE	20	6.628	6.000	05117921204
20 X 300 GM	FFS-SWAD(20 X300 GM) --- FAR FAR STAR	20	6.570	6.000	05117921222
20 X 300 GM	FFS-SWAD(20 X300 GM) --- FAR FAR STAR	20	6.570	6.000	05117921222
20 X 300 GM	FFS-SWA(20 X 300 GM) --- FAR FAR STICK	20	6.628	6.000	05117921235
20 X 300 GM	FFS-SWA(20 X 300 GM) --- FAR FAR STICK	20	6.628	6.000	05117921235
20 X 300 GM	FFT-SWA(20 X 300 GM) --- FAR FAR TUBE	20	6.580	6.000	05117921205
20 X 300 GM	FFT-SWA(20 X 300 GM) --- FAR FAR TUBE	20	6.580	6.000	05117921205
20 X 100 GM	FP-SWAD(20 X 100 GM) --- FATAKDI POWDER	20	2.200	2.000	05117900099
20 X 100 GM	FP-SWAD(20 X 100 GM) --- FATAKDI POWDER	20	2.200	2.000	05117900099
20 X 200 GM	FP-SWAD(20 X 200 GM) --- FENNEL POWDER	20	4.380	4.000	05117932095
20 X 200 GM	FP-SWAD(20 X 200 GM) --- FENNEL POWDER	20	4.380	4.000	05117932095
20 X 200 GM	FS-SWAD(20 X 200 GM) --- FENNEL SEEDS	20	4.385	4.000	05117932060
20 X 200 GM	FS-SWAD(20 X 200 GM) --- FENNEL SEEDS	20	4.385	4.000	05117932060
20 X 400 GM	FS-SWAD(20 X 400 GM) --- FENNEL SEEDS	20	8.660	8.000	05117932070
20 X 400 GM	FS-SWAD(20 X 400 GM) --- FENNEL SEEDS	20	8.660	8.000	05117932070
5 X 56 OZ	FS-SWAD(5 X 56 OZ) --- FENNEL SEEDS	5	8.540	8.000	05117985005
5 X 56 OZ	FS-SWAD(5 X 56 OZ) --- FENNEL SEEDS	5	8.540	8.000	05117985005
10 X 800 GM	FS-SWAD(10 X 800 GM) --- FENNEL SEEDS	10	8.630	8.000	05117932080
10 X 800 GM	FS-SWAD(10 X 800 GM) --- FENNEL SEEDS	10	8.630	8.000	05117932080
20 X 400 GM	FSL-SWAD(20X400 GM) --- FENNEL SEEDS LUCKNOWI	20	8.660	8.000	05117932075
20 X 400 GM	FSL-SWAD(20X400 GM) --- FENNEL SEEDS LUCKNOWI	20	8.660	8.000	05117932075
20 X 400 GM	FSR-SWAD(20 X400 GM) --- FENNEL SEEDS ROASTED	20	8.660	8.000	05117932120
20 X 400 GM	FSR-SWAD(20 X400 GM) --- FENNEL SEEDS ROASTED	20	8.660	8.000	05117932120
20 X 200 GM	FC-SWAD(20 X 200 GM) --- FENUGREEK CRUSHED	20	4.380	4.000	05117932540
20 X 200 GM	FC-SWAD(20 X 200 GM) --- FENUGREEK CRUSHED	20	4.380	4.000	05117932540
20 X 400 GM	FC-SWAD(20 X 400 GM) --- FENUGREEK CRUSHED	20	8.500	8.000	05117932550
20 X 400 GM	FC-SWAD(20 X 400 GM) --- FENUGREEK CRUSHED	20	8.500	8.000	05117932550
20 X 200 GM	FGP-SWAD(20 X200 GM) --- FENUGREEK POWDER	20	4.380	4.000	05117934900
20 X 200 GM	FGP-SWAD(20 X200 GM) --- FENUGREEK POWDER	20	4.380	4.000	05117934900
12 X 220 GM	FGP-ALL(12 X 220 GM) --- FENUGREEK POWDER	12	3.264	2.640	051179610903
12 X 220 GM	FGP-ALL(12 X 220 GM) --- FENUGREEK POWDER	12	3.264	2.640	051179610903
12 X 230 GM	FGP-SWADN(12 X230GM) --- FENUGREEK POWDER	12	4.420	2.760	05117961090
12 X 230 GM	FGP-SWADN(12 X230GM) --- FENUGREEK POWDER	12	4.420	2.760	05117961090
40 X 100 GM	FGS-SWA(40 X 100 GM) --- FENUGREEK SEEDS	40	4.475	4.000	05117932585
40 X 100 GM	FGS-SWA(40 X 100 GM) --- FENUGREEK SEEDS	40	4.475	4.000	05117932585
20 X 200 GM	FGS-SWAD(20 X200 GM) --- FENUGREEK SEEDS	20	4.365	4.000	05117932580
20 X 200 GM	FGS-SWAD(20 X200 GM) --- FENUGREEK SEEDS	20	4.365	4.000	05117932580
12 X 280 GM	FGS-SWADN(12 X280GM) --- FENUGREEK SEEDS	12	5.020	3.360	05117961033
12 X 280 GM	FGS-SWADN(12 X280GM) --- FENUGREEK SEEDS	12	5.020	3.360	05117961033
12 X 290 GM	FGS-SWA(12 X 290 GM) --- FENUGREEK SEEDS	12	4.104	3.480	05117961033
12 X 290 GM	FGS-SWA(12 X 290 GM) --- FENUGREEK SEEDS	12	4.104	3.480	05117961033
20 X 400 GM	FGS-SWAD(20 X400 GM) --- FENUGREEK SEEDS	20	8.440	8.000	05117932590
20 X 400 GM	FGS-SWAD(20 X400 GM) --- FENUGREEK SEEDS	20	8.440	8.000	05117932590
12 X 450 GM	FGS-NY (12 X 450GM) --- FENUGREEK SEED	12	6.400	5.400	05117998064
12 X 450 GM	FGS-NY (12 X 450GM) --- FENUGREEK SEED	12	6.400	5.400	05117998064
5 X 56 OZ	FGS-SWAD(5 X 56 OZ) --- FENUGREEK SEEDS	5	8.405	8.000	05117985102
5 X 56 OZ	FGS-SWAD(5 X 56 OZ) --- FENUGREEK SEEDS	5	8.405	8.000	05117985102
10 X 800 GM	FGS-SWAD(10 X800 GM) --- FENUGREEK SEEDS	10	8.420	8.000	05117932571
10 X 800 GM	FGS-SWAD(10 X800 GM) --- FENUGREEK SEEDS	10	8.420	8.000	05117932571
6 X 12 X 25 GM	FCEY-SWAD(6X12X25GM) --- FOOD COLOUR EGG YELLOW	72	2.360	1.800	05117936001
6 X 12 X 25 GM	FCEY-SWAD(6X12X25GM) --- FOOD COLOUR EGG YELLOW	72	2.360	1.800	05117936001
6 X 12 X 25 GM	FCG-SWAD(6 X 12 X 25 GM) --- FOOD COLOUR GREEN	72	2.360	1.800	05117936004
6 X 12 X 25 GM	FCG-SWAD(6 X 12 X 25 GM) --- FOOD COLOUR GREEN	72	2.360	1.800	05117936004
6 X 12 X 25 GM	FCO-SWAD(6X12X25GM) --- FOOD COLOUR ORANGE	72	2.360	1.800	05117936003
6 X 12 X 25 GM	FCO-SWAD(6X12X25GM) --- FOOD COLOUR ORANGE	72	2.360	1.800	05117936003
6 X 12 X 25 GM	FCR-SWAD(6 X12X25GM) --- FOOD COLOUR RED	72	2.610	1.800	05117936005
6 X 12 X 25 GM	FCR-SWAD(6 X12X25GM) --- FOOD COLOUR RED	72	2.610	1.800	05117936005
24 X 312 GM	FROAMLA(24 X 312 GM)	7.488	8.516	7.488	890187413101
24 X 312 GM	FROAMLA(24 X 312 GM)	7.488	8.516	7.488	890187413101
24 X 312 GM	FRAMWH (24 X 312 GM)	7.488	8.516	7.488	890187413100
24 X 312 GM	FRAMWH (24 X 312 GM)	7.488	8.516	7.488	890187413100
12 X 312 GM	FROANR(12 X 312 GM)	3.744	3.888	3.744	890187413102
12 X 312 GM	FROANR(12 X 312 GM)	3.744	3.888	3.744	890187413102
24 X 312 GM	FROANR(24 X 312 GM)	7.488	8.346	7.488	890187413102
24 X 312 GM	FROANR(24 X 312 GM)	7.488	8.346	7.488	890187413102
24 X 312 GM	FROZEN ARVI(24 X 312	7.488	8.516	7.488	890187413103
24 X 312 GM	FROZEN ARVI(24 X 312	7.488	8.516	7.488	890187413103
24 X 312 GM	FROZBABYBHI(24X312)	7.488	7.776	7.488	890187413166
24 X 312 GM	FROZBABYBHI(24X312)	7.488	7.776	7.488	890187413166
24 X 312 GM	FROZENBHIN(24 X 312)	7.488	8.536	7.488	890187413167
24 X 312 GM	FROZENBHIN(24 X 312)	7.488	8.536	7.488	890187413167
24 X 312 GM	FROBHICASS(24 X 312)	7.488	8.516	7.488	890187413168
24 X 312 GM	FROBHICASS(24 X 312)	7.488	8.516	7.488	890187413168
9 X 2 LBS	FROBC(9 X 2 LBS)	8.172	9.256	8.172	890187413157
9 X 2 LBS	FROBC(9 X 2 LBS)	8.172	9.256	8.172	890187413157
12 X 312 GM	FROBLJA(12 X 312 GM)	3.744	4.408	3.744	890187413143
12 X 312 GM	FROBLJA(12 X 312 GM)	3.744	4.408	3.744	890187413143
24 X 312 GM	FROCASS(24 X 312 GM)	7.488	8.228	7.488	890187413158
24 X 312 GM	FROCASS(24 X 312 GM)	7.488	8.228	7.488	890187413158
24 X 312 GM	FROCAUFLO(24 X 312)	7.488	7.776	7.488	890187413105
24 X 312 GM	FROCAUFLO(24 X 312)	7.488	7.776	7.488	890187413105
24 X 312 GM	FROZEN CHAULI	7.488	8.516	7.488	890187413107
24 X 312 GM	FROZEN CHAULI	7.488	8.516	7.488	890187413107
12 X 312 GM	FROCHI(12 X 312 GM) --- FROZEN CHIKOO	3.744	4.408	3.744	890187413106
12 X 312 GM	FROCHI(12 X 312 GM) --- FROZEN CHIKOO	3.744	4.408	3.744	890187413106
24 X 312 GM	FROCHO(24 X 312 GM)	7.488	8.346	7.488	890187413108
24 X 312 GM	FROCHO(24 X 312 GM)	7.488	8.346	7.488	890187413108
24 X 312 GM	FROCOGRA(24 X 312GM)	7.488	8.346	7.488	890187413110
24 X 312 GM	FROCOGRA(24 X 312GM)	7.488	8.346	7.488	890187413110
24 X 312 GM	FROZCOCSHREDDED(24 X 312GM)	7.488	8.346	7.488	890187413198
24 X 312 GM	FROZCOCSHREDDED(24 X 312GM)	7.488	8.346	7.488	890187413198
24 X 312 GM	FROCOSL(24 X 312 GM)	7.488	8.476	7.488	890187413109
24 X 312 GM	FROCOSL(24 X 312 GM)	7.488	8.476	7.488	890187413109
24 X 312 GM	FRODRUM(24 X 312 GM)	7.488	8.516	7.488	890187413115
24 X 312 GM	FRODRUM(24 X 312 GM)	7.488	8.516	7.488	890187413115
9 X 2 LBS	FRODRU-KX(9 X 2 LBS)	8.172	8.912	8.172	890187413153
9 X 2 LBS	FRODRU-KX(9 X 2 LBS)	8.172	8.912	8.172	890187413153
24 X 312 GM	FRODUD(24 X 312 GM)	7.488	7.776	7.488	890187413176
24 X 312 GM	FRODUD(24 X 312 GM)	7.488	7.776	7.488	890187413176
24 X 312 GM	FR-FAKX(24 X 312 GM)	7.488	8.346	7.488	890187413116
24 X 312 GM	FR-FAKX(24 X 312 GM)	7.488	8.346	7.488	890187413116
24 X 312 GM	GOV-KX(24 X 312 GM)	7.488	8.516	7.488	890187413117
24 X 312 GM	GOV-KX(24 X 312 GM)	7.488	8.516	7.488	890187413117
24 X 312 GM	FROGRKX(24 X 312 GM)	7.488	8.536	7.488	890187413118
24 X 312 GM	FROGRKX(24 X 312 GM)	7.488	8.536	7.488	890187413118
9 X 2 LBS	FROGRC-AL(9 X 2 LBS)	8.172	9.094	8.172	890187413155
9 X 2 LBS	FROGRC-AL(9 X 2 LBS)	8.172	9.094	8.172	890187413155
24 X 312 GM	FROGREELAS(24 X 312)	7.488	8.476	7.488	890187413119
24 X 312 GM	FROGREELAS(24 X 312)	7.488	8.476	7.488	890187413119
12 X 312 GM	FROGRMA(12 X 312 GM)	3.744	4.408	3.744	890187413120
12 X 312 GM	FROGRMA(12 X 312 GM)	3.744	4.408	3.744	890187413120
24 X 340 GM	FROGRMA(24 X 340 GM)	8.160	9.000	8.160	05117998500
24 X 340 GM	FROGRMA(24 X 340 GM)	8.160	9.000	8.160	05117998500
24 X 312 GM	FROGREEPEA(24 X 312)	7.488	8.346	7.488	890187413121
24 X 312 GM	FROGREEPEA(24 X 312)	7.488	8.346	7.488	890187413121
9 X 2 LBS	FROGRPEKX(9 X 2 LBS)	8.172	8.868	8.172	890187413147
9 X 2 LBS	FROGRPEKX(9 X 2 LBS)	8.172	8.868	8.172	890187413147
24 X 312 GM	FROHALDI(24 X 312 G)	7.488	8.516	7.488	890187413122
24 X 312 GM	FROHALDI(24 X 312 G)	7.488	8.516	7.488	890187413122
24 X 312 GM	FROJAFR(24 X 312 GM)	7.488	8.516	7.488	890187413123
24 X 312 GM	FROJAFR(24 X 312 GM)	7.488	8.516	7.488	890187413123
12 X 312 GM	FROJAM(12 X 312 GM)	3.744	4.408	3.744	890187413124
12 X 312 GM	FROJAM(12 X 312 GM)	3.744	4.408	3.744	890187413124
24 X 312 GM	FROKANT(24 X 312 GM)	7.488	8.516	7.488	890187413125
24 X 312 GM	FROKANT(24 X 312 GM)	7.488	8.516	7.488	890187413125
24 X 312 GM	FROKARE(24 X 312 GM)	7.488	8.536	7.488	890187413126
24 X 312 GM	FROKARE(24 X 312 GM)	7.488	8.536	7.488	890187413126
12 X 312 GM	FRKMS(12 X 312 GM)	3.744	4.408	3.744	890187413197
12 X 312 GM	FRKMS(12 X 312 GM)	3.744	4.408	3.744	890187413197
12 X 312 GM	FROKOT(12 X 312 GM )	3.744	4.408	3.744	890187413162
12 X 312 GM	FROKOT(12 X 312 GM )	3.744	4.408	3.744	890187413162
24 X 100 GM	FRLMKX(24 X 100 GM) -- FROZEN LEMONGRASS	2.400	2.600	2.400	890187413097
24 X 100 GM	FRLMKX(24 X 100 GM) -- FROZEN LEMONGRASS	2.400	2.600	2.400	890187413097
24 X 312 GM	FROLORO(24 X 312 GM)	7.488	8.536	7.488	890187413127
24 X 312 GM	FROLORO(24 X 312 GM)	7.488	8.536	7.488	890187413127
24 X 312 GM	FROMETH(24 X 312 GM)	7.488	8.516	7.488	890187413112
24 X 312 GM	FROMETH(24 X 312 GM)	7.488	8.516	7.488	890187413112
24 X 312 GM	FROMIXVEG(24 X312GM)	7.488	8.346	7.488	890187413128
24 X 312 GM	FROMIXVEG(24 X312GM)	7.488	8.346	7.488	890187413128
24 X 312 GM	FROZENPAR(24 X312GM)	7.488	8.516	7.488	890187413130
24 X 312 GM	FROZENPAR(24 X312GM)	7.488	8.516	7.488	890187413130
12 X 312 GM	FR-FRKX(12 X 312 GM)	3.744	4.338	3.744	890187413145
12 X 312 GM	FR-FRKX(12 X 312 GM)	3.744	4.338	3.744	890187413145
24 X 312 GM	FROPUNTIN(24 X312GM)	7.488	8.516	7.488	890187413129
24 X 312 GM	FROPUNTIN(24 X312GM)	7.488	8.516	7.488	890187413129
24 X 312 GM	FRORAT(24 X 312 GM)	7.488	8.516	7.488	890187413131
24 X 312 GM	FRORAT(24 X 312 GM)	7.488	8.516	7.488	890187413131
24 X 312 GM	KX-FRVY(24 X 312 GM) --- FROZEN RAVAIYA	1	8.228	7.488	890187413096
24 X 312 GM	KX-FRVY(24 X 312 GM) --- FROZEN RAVAIYA	1	8.228	7.488	890187413096
24 X 312 GM	FROREDO(24 X 312 GM)	7.488	8.058	7.488	890187413159
24 X 312 GM	FROREDO(24 X 312 GM)	7.488	8.058	7.488	890187413159
12 X 312 GM	FROSING(12 X 312 GM)	3.744	4.408	3.744	890187413133
12 X 312 GM	FROSING(12 X 312 GM)	3.744	4.408	3.744	890187413133
24 X 312 GM	FROSNAGOU(24 X312GM)	7.488	8.516	7.488	890187413134
24 X 312 GM	FROSNAGOU(24 X312GM)	7.488	8.516	7.488	890187413134
24 X 312 GM	FROSURPAP(24 X312GM)	7.488	8.516	7.488	890187413136
24 X 312 GM	FROSURPAP(24 X312GM)	7.488	8.516	7.488	890187413136
24 X 312 GM	FROSUUM(24 X 312 GM)	7.488	8.346	7.488	890187413138
24 X 312 GM	FROSUUM(24 X 312 GM)	7.488	8.346	7.488	890187413138
24 X 312 GM	FROSWEECOR(24 X 312)	7.488	8.346	7.488	890187413111
24 X 312 GM	FROSWEECOR(24 X 312)	7.488	8.346	7.488	890187413111
24 X 312 GM	FROTIND(24 X 312 GM)	7.488	8.516	7.488	890187413139
24 X 312 GM	FROTIND(24 X 312 GM)	7.488	8.516	7.488	890187413139
9 X 2 LBS	FROTINAL(9 X 2 LBS)	8.172	8.912	8.172	890187413151
9 X 2 LBS	FROTINAL(9 X 2 LBS)	8.172	8.912	8.172	890187413151
24 X 312 GM	FROTOOLI(24 X 312GM)	7.488	8.346	7.488	890187413140
24 X 312 GM	FROTOOLI(24 X 312GM)	7.488	8.346	7.488	890187413140
24 X 312 GM	FROVALLI(24 X 312GM)	7.488	8.346	7.488	890187413141
24 X 312 GM	FROVALLI(24 X 312GM)	7.488	8.346	7.488	890187413141
24 X 312 GM	FROVALPAP(24 X 312)	7.488	8.536	7.488	890187413142
24 X 312 GM	FROVALPAP(24 X 312)	7.488	8.536	7.488	890187413142
24 X 312 GM	SURAN(24 X 312 GM)	7.488	8.516	7.488	890187413135
24 X 312 GM	SURAN(24 X 312 GM)	7.488	8.516	7.488	890187413135
12 X 500 ML	GAN-SWA(12 X 500 ML) --- GANGAJAL ML	12	6.250	5.748	05117900172
12 X 500 ML	GAN-SWA(12 X 500 ML) --- GANGAJAL ML	12	6.250	5.748	05117900172
20 X 100 GM	GP-SWAD(20X 100 GM) --- GANTHODA POWDER	20	2.300	2.000	05117934560
20 X 100 GM	GP-SWAD(20X 100 GM) --- GANTHODA POWDER	20	2.300	2.000	05117934560
40 X 100 GM	GMP-SWA(40 X 100 GM) --- GARAM MASALA POWDER	40	4.520	4.000	05117934601
40 X 100 GM	GMP-SWA(40 X 100 GM) --- GARAM MASALA POWDER	40	4.520	4.000	05117934601
12 X 180 GM	GMP-SWA(12 X 180 GM) --- GARAM MASALA POWDER	12	3.820	2.160	05117961035
12 X 180 GM	GMP-SWA(12 X 180 GM) --- GARAM MASALA POWDER	12	3.820	2.160	05117961035
20 X 200 GM	GMP-SWAD(20X200 GM) --- GARAM MASALA POWDER	20	4.380	4.000	05117934590
20 X 200 GM	GMP-SWAD(20X200 GM) --- GARAM MASALA POWDER	20	4.380	4.000	05117934590
12 X 320 GM	GMP-NY(12 X 320 GM) --- GARAM MASALA POWDER (12 X 320 GM)	12	4.800	3.840	05117998072
12 X 320 GM	GMP-NY(12 X 320 GM) --- GARAM MASALA POWDER (12 X 320 GM)	12	4.800	3.840	05117998072
20 X 400 GM	GMP-SWAD(20 X400 GM) --- GARAM MASALA POWDER	20	8.533	8.000	05117934600
20 X 400 GM	GMP-SWAD(20 X400 GM) --- GARAM MASALA POWDER	20	8.533	8.000	05117934600
5 X 56 OZ	GMP-SWAD(5 X 56 OZ) --- GARAM MASALA POWDER	5	8.387	8.000	05117986057
5 X 56 OZ	GMP-SWAD(5 X 56 OZ) --- GARAM MASALA POWDER	5	8.387	8.000	05117986057
10 X 800 GM	GMP-SWAD(10X800 GM) --- GARAM MASALA POWDER	10	8.387	8.000	05117934610
10 X 800 GM	GMP-SWAD(10X800 GM) --- GARAM MASALA POWDER	10	8.387	8.000	05117934610
20 X 200 GM	GMW-SWAD(20 X200 GM) --- GARAM MASALA WHOLE	20	4.520	4.000	05117990176
20 X 200 GM	GMW-SWAD(20 X200 GM) --- GARAM MASALA WHOLE	20	4.520	4.000	05117990176
12 X 500 GM	GP-ALL(12 X 500 GM) --- GARLIC PICKLE	12	9.732	6.000	05117924245
12 X 500 GM	GP-ALL(12 X 500 GM) --- GARLIC PICKLE	12	9.732	6.000	05117924245
20 X 200 GM	GP-SWA(20 X 200 GM) --- GARLIC POWDER COARSE	20	4.410	4.000	05117934640
20 X 200 GM	GP-SWA(20 X 200 GM) --- GARLIC POWDER COARSE	20	4.410	4.000	05117934640
20 X 400 GM	GPC-SWA(20 X 400 GM) --- GARLIC POWDER COARSE	20	8.500	8.000	05117934650
20 X 400 GM	GPC-SWA(20 X 400 GM) --- GARLIC POWDER COARSE	20	8.500	8.000	05117934650
1 X 1 PCS	GA-SWAD (1 X 1 PCS) -- GIFT ARTICALS (1 X 1 PCS)	1	500.000	500.000	Not Available
1 X 1 PCS	GA-SWAD 3 (1 X 1 PCS) -- GIFT ARTICALS	1	160.000	160.000	.
1 X 1 PCS	GA-SWAD (1 X 1 PCS) -- GIFT ARTICALS (1 X 1 PCS)	1	500.000	500.000	Not Available
1 X 1 PCS	GA-SWAD 3 (1 X 1 PCS) -- GIFT ARTICALS	1	160.000	160.000	.
40 X 100 GM	GP-SWAD(40 X 100 GM) --- GINGER POWDER	40	4.520	4.000	05117934680
40 X 100 GM	GP-SWAD(40 X 100 GM) --- GINGER POWDER	40	4.520	4.000	05117934680
12 X 150 GM	GP-SWAD(12 X 150 GM) --- GINGER POWDER	12	3.460	1.800	05117961034
12 X 150 GM	GP-SWAD(12 X 150 GM) --- GINGER POWDER	12	3.460	1.800	05117961034
20 X 200 GM	GP-SWAD(20X 200 GM) --- GINGER POWDER	20	4.427	4.000	05117934690
20 X 200 GM	GP-SWAD(20X 200 GM) --- GINGER POWDER	20	4.427	4.000	05117934690
12 X 270 GM	GP-NY(12 X 270 GM) --- GINGER POWDER (12 X 270 GM)	12	4.200	3.240	05117998082
12 X 270 GM	GP-NY(12 X 270 GM) --- GINGER POWDER (12 X 270 GM)	12	4.200	3.240	05117998082
20 X 400 GM	GP-SWAD(20 X 400 GM) --- GINGER POWDER	20	8.690	8.000	05117934700
20 X 400 GM	GP-SWAD(20 X 400 GM) --- GINGER POWDER	20	8.690	8.000	05117934700
20 X 100 GM	GWD-SWAD(20X100 GM) --- GINGER WHOLE DRY	20	2.340	2.000	05117932221
20 X 100 GM	GWD-SWAD(20X100 GM) --- GINGER WHOLE DRY	20	2.340	2.000	05117932221
12 X 450 GM	GCP-ALL(12 X 450 GM) --- GREEN CHILLI PICKLE	12	9.132	5.400	05117924240
12 X 450 GM	GCP-ALL(12 X 450 GM) --- GREEN CHILLI PICKLE	12	9.132	5.400	05117924240
20 X 100 GM	GW-SWAD(20X 100 GM) --- GUGAR WHOLE	20	2.200	2.000	05117998017
20 X 100 GM	GW-SWAD(20X 100 GM) --- GUGAR WHOLE	20	2.200	2.000	05117998017
12 X 100 GM	HP-SWAD(12 X 100 GM) --- HARDE POWDER	12	1.770	1.200	05117998018
12 X 100 GM	HP-SWAD(12 X 100 GM) --- HARDE POWDER	12	1.770	1.200	05117998018
20 X 100 GM	HW-SWCH(20 X 100 GM) --- HARDE WHOLE	20	2.240	2.000	05117998019
20 X 100 GM	HW-SWCH(20 X 100 GM) --- HARDE WHOLE	20	2.240	2.000	05117998019
20 X 200 GM	HS-SWAD(20 X 200 GM) --- HAWAN SAMAGRI	20	4.490	4.000	05117942081
20 X 200 GM	HS-SWAD(20 X 200 GM) --- HAWAN SAMAGRI	20	4.490	4.000	05117942081
20 X 100 GM	HM-SWAD(20 X 100 GM) --- HIMEJ	20	2.258	2.000	05117998020
20 X 100 GM	HM-SWAD(20 X 100 GM) --- HIMEJ	20	2.258	2.000	05117998020
24 X 100 GM	HP-SWAD(24 X 100 GM) --- HING POWDER	24	3.410	2.400	05117934748
24 X 100 GM	HP-SWAD(24 X 100 GM) --- HING POWDER	24	3.410	2.400	05117934748
24 X 120 GM	HP-SWAD(24 X 120 GM) --- HING POWDER	24	5.094	2.880	05117934748
24 X 120 GM	HP-SWAD(24 X 120 GM) --- HING POWDER	24	5.094	2.880	05117934748
10 X 4 LBS	IRI-SWAD(10 X 4 LBS) --- IDLI RICE	10	18.740	18.160	05117926216
10 X 4 LBS	IRI-SWAD(10 X 4 LBS) --- IDLI RICE	10	18.740	18.160	05117926216
12 X 160 GM	IH-SWAD(12 X 160 GM) --- ISABGOOL HUSK	12	2.900	1.920	05117998074
12 X 160 GM	IH-SWAD(12 X 160 GM) --- ISABGOOL HUSK	12	2.900	1.920	05117998074
6 X 4 LBS	JAG-ALL(6 X 4 LBS) --- JAGGERY	6	12.520	10.896	05117930022
6 X 4 LBS	JAG-ALL(6 X 4 LBS) --- JAGGERY	6	12.520	10.896	05117930022
12 X 925 GM	JD-ALL(12 X 925 GM) --- JAGGERY DESI	12	12.800	11.100	05117930105
12 X 925 GM	JD-ALL(12 X 925 GM) --- JAGGERY DESI	12	12.800	11.100	05117930105
12 X 2 LBS	JAG-NY(12 X 2 LBS) --- JAGGERY KOLHAPURI	12	12.650	10.896	05117930116
12 X 2 LBS	JAG-NY(12 X 2 LBS) --- JAGGERY KOLHAPURI	12	12.650	10.896	05117930116
20 X 150 GM	JV-SWAD(20 X 150 GM) --- JAV	20	3.280	3.000	05117990105
20 X 150 GM	JV-SWAD(20 X 150 GM) --- JAV	20	3.280	3.000	05117990105
20 X 50 GM	JW-SWAD(20 X 50 GM ) --- JAVENTRI WHOLE	20	1.320	1.000	05117934828
20 X 50 GM	JW-SWAD(20 X 50 GM ) --- JAVENTRI WHOLE	20	1.320	1.000	05117934828
20 X 100 GM	JMP-SWAD(20 X100 GM) --- JETHIMADH POWDER	20	2.190	2.000	05117998025
20 X 100 GM	JMP-SWAD(20 X100 GM) --- JETHIMADH POWDER	20	2.190	2.000	05117998025
20 X 50 GM	JW-SWAD(20 X 50 GM) --- JETHIMADH WHOLE0	20	1.155	1.000	05117998026
20 X 50 GM	JW-SWAD(20 X 50 GM) --- JETHIMADH WHOLE0	20	1.155	1.000	05117998026
16 X 2 LBS	JF-SWAD(16 X 2 LBS) --- JUVAR FLOUR	16	15.252	14.528	05117917280
16 X 2 LBS	JF-SWAD(16 X 2 LBS) --- JUVAR FLOUR	16	15.252	14.528	05117917280
10 X 4 LBS	JF-SWAD(10 X 4 LBS) --- JUVAR FLOUR	10	18.802	18.160	05117917257
10 X 4 LBS	JF-SWAD(10 X 4 LBS) --- JUVAR FLOUR	10	18.802	18.160	05117917257
20 X 200 GM	JM-SWA(20 X 200 GM) --- JUWAR MAMRA (20 X 200 GM)	20	4.250	4.000	05117924095
10 X 200 GM	JM-SWA(10 X 200 GM) --- JUWAR MAMRA (CTN)	10	3.270	2.000	05117924095
20 X 200 GM	JM-SWA(20 X 200 GM) --- JUWAR MAMRA (20 X 200 GM)	20	4.250	4.000	05117924095
10 X 200 GM	JM-SWA(10 X 200 GM) --- JUWAR MAMRA (CTN)	10	3.270	2.000	05117924095
10 X 400 GM	JUM-ALL(10 X 400 GM) --- JUWAR MAMRA	10	4.360	4.000	05117924030
10 X 400 GM	JUM-ALL(10 X 400 GM) --- JUWAR MAMRA	10	4.360	4.000	05117924030
20 X 100 GM	KC-NY(20 X 100 GM) --- KABAB CHINI	20	2.280	2.000	05117998035
20 X 100 GM	KC-NY(20 X 100 GM) --- KABAB CHINI	20	2.280	2.000	05117998035
